"RegularNeedId","CaseId","SupplyId","Quantity","ApplyDate","Status","PickupDate","BatchId"
1,7,2,2,2025-07-01 00:00:00.000,collected,2025-07-17 11:13:11.290,9
2,1,1,1,2025-06-20 00:00:00.000,pending,2025-06-23 00:00:00.000,
3,8,2,2,2025-07-01 00:00:00.000,pending,2025-07-16 12:41:10.927,
4,1,1,1,2025-06-20 00:00:00.000,pending,2025-06-23 00:00:00.000,
5,9,3,5,2025-07-05 00:00:00.000,pending,2025-07-16 12:41:11.073,
6,3,1,2,2025-07-10 00:00:00.000,pending,,
7,10,2,4,2025-07-02 00:00:00.000,pending,2025-07-16 12:41:11.223,
8,13,2,2,2025-07-01 00:00:00.000,pending,2025-07-16 12:41:11.373,
9,14,1,1,2025-07-02 00:00:00.000,pending,2025-07-16 13:00:45.470,
10,2,3,3,2025-07-05 00:00:00.000,pending,,
11,2,2,4,2025-07-06 00:00:00.000,pending,2025-07-16 14:07:13.090,
12,1,3,2,2025-07-07 00:00:00.000,pending,2025-07-16 14:07:13.253,
13,3,2,1,2025-07-10 00:00:00.000,pending,2025-07-12 00:00:00.000,
14,15,1,3,2025-07-08 00:00:00.000,pending,2025-07-16 13:00:45.623,
15,2,2,2,2025-07-12 00:00:00.000,pending,2025-07-16 12:41:11.527,
16,4,3,1,2025-07-12 00:00:00.000,pending,2025-07-16 13:00:45.767,
17,4,1,4,2025-07-13 00:00:00.000,pending,2025-07-16 13:00:45.920,
18,3,2,2,2025-07-15 00:00:00.000,pending,2025-07-16 12:41:35.877,
19,12,1,5,2025-07-14 00:00:00.000,pending,2025-07-16 12:41:11.680,
21,4,2,2,2025-07-16 00:00:00.000,collected,2025-07-17 11:26:10.053,12
22,5,1,1,2025-07-18 00:00:00.000,collected,2025-07-17 11:25:34.060,11
23,6,2,3,2025-07-19 00:00:00.000,collected,2025-07-17 11:25:34.217,11
24,19,2,2,2025-07-20 00:00:00.000,collected,2025-07-17 11:20:03.273,10
25,14,3,1,2025-07-22 00:00:00.000,collected,2025-07-17 11:20:03.430,10
27,12,2,2,2025-07-23 00:00:00.000,collected,2025-07-17 11:20:03.587,10
28,2,1,1,2025-07-15 03:06:53.283,pending,2025-07-16 12:41:12.293,
29,2,2,1,2025-07-15 03:07:52.587,pending,2025-07-15 03:07:52.587,
30,2,3,1,2025-07-15 11:50:37.190,pending,2025-07-16 12:41:12.440,
31,2,4,1,2025-07-15 11:53:14.787,pending,2025-07-16 12:41:12.590,
32,1,4,1,2025-07-16 03:23:29.187,collected,2025-07-17 11:26:10.217,12
33,1,13,1,2025-07-16 03:24:28.613,collected,2025-07-17 13:02:11.443,13
34,1,20,1,2025-07-16 03:24:33.853,pending,2025-07-16 12:41:13.040,
35,1,6,1,2025-07-16 03:24:38.140,pending,2025-07-16 12:41:13.187,
36,1,1,1,2025-07-16 16:02:04.727,pending,,
37,1,2,1,2025-07-16 16:30:53.963,pending,,
38,1,1,1,2025-07-11 08:17:23.000,pending,,
39,1,1,1,2025-07-13 12:42:55.000,pending,,
40,1,1,1,2025-07-15 09:03:10.000,pending,,
41,1,1,1,2025-07-16 18:29:44.000,pending,,
42,1,1,1,2025-07-17 21:56:07.000,collected,2025-07-17 13:02:11.603,13
